web-scraper-order,web-scraper-start-url,Price_raw,City_raw,Discipline_raw,Title_raw,Description_raw
"1733932052-23","https://www.ehorses.de/search?dum=dum&land=4?pn=445","20,000 € bis 40,000 €","Pulheim","Dressur - Zucht - Springen - Freizeit
                
                    
                    Gestüt Geuchberg","Vielversprechender gekörter Hengst von Fusionist","Hannoveraner, Hengst, 4 Jahre, 168 cm, Brauner"
"1733932052-24","https://www.ehorses.de/search?dum=dum&land=4?pn=445","7,900 €","Pedralba","Dressur - Working Equitation - Barock - Vielseitigkeit","","PRE, Hengst, 3 Jahre, 165 cm, Apfelschimmel"
"1733932052-25","https://www.ehorses.de/search?dum=dum&land=4?pn=445","30,000 €","Coruche","Dressur - Schau - Barock - Zucht
                
                    
                    Horseliberty Lucia Amelie","","Lusitanos, Hengst, 4 Jahre, 161 cm, Schimmel"
"1733932052-26","https://www.ehorses.de/search?dum=dum&land=4?pn=445","3,450 € VB","Achtmaal","Freizeit
                
                    
                    Stal Doorstap","","Sonstige Rassen, Stute, 12 Jahre, 163 cm, Fuchs"
"1733932052-27","https://www.ehorses.de/search?dum=dum&land=4?pn=445","20,000 € bis 40,000 €","Lissabon","Dressur - Working Equitation - Zucht
                
                    
                    Udo Sauerzapf","Grossrahmiger Lusitano mit sehr viel Potential","Lusitanos, Hengst, 3 Jahre, 168 cm, Brauner"
"1733932052-28","https://www.ehorses.de/search?dum=dum&land=4?pn=445","10,000 € bis 15,000 €","Cegléd","Dressur","Weihnachten Aktion","Hannoveraner, Wallach, 8 Jahre, 167 cm, Brauner"
"1733932052-29","https://www.ehorses.de/search?dum=dum&land=4?pn=445","15,000 € bis 20,000 €","Cegléd","Springen - Hunter - Dressur","Verkauf eines außergewöhnlichen Sportpferdes","Deutsches Sportpferd, Wallach, 8 Jahre, 168 cm, Schimmel"
"1733932052-30","https://www.ehorses.de/search?dum=dum&land=4?pn=445","10,000 € bis 15,000 €","Cegléd","Dressur","Toll Dressur wallach","KWPN, Wallach, 6 Jahre, 172 cm, Rappe"
"1733932052-31","https://www.ehorses.de/search?dum=dum&land=4?pn=445","10,000 € bis 15,000 €","Cegléd","Dressur","Top stute zu hause","Hannoveraner, Stute, 5 Jahre, 165 cm, Dunkelbrauner"
"1733932052-32","https://www.ehorses.de/search?dum=dum&land=4?pn=445","10,000 € bis 15,000 €","Cegléd","Dressur","4-Jahr exclusive Dressur stute","Hannoveraner, Stute, 4 Jahre, 168 cm, Rappe"
"1733932052-33","https://www.ehorses.de/search?dum=dum&land=4?pn=445","14,900 €","Karlsfeld","Dressur - Freizeit","Bildschöne Stute, Dressur, in seltener Farbe mit top Abstammung!","Deutsches Sportpferd, Stute, 5 Jahre, 170 cm, Dunkelfuchs"
"1733932052-34","https://www.ehorses.de/search?dum=dum&land=4?pn=445","4,300 € VB","Burgstall","Springen - Schau - Freizeit","Großrahmiger, typvoller Allrounder","Deutsches Sportpferd, Hengst, 1 Jahr, 172 cm, Brauner"
"1733932052-35","https://www.ehorses.de/search?dum=dum&land=4?pn=445","4,400 € VB","Burgstall","Springen - Schau - Freizeit","Umgänglicher, gut gezogener Deutscher Sportpferde Jährling","Deutsches Sportpferd, Hengst, 1 Jahr, 168 cm, Brauner"
"1733932052-36","https://www.ehorses.de/search?dum=dum&land=4?pn=445","12,500 € VB","Ehndorf","Gang
                
                    
                    Gestüt Heesberg","Deutschgezogener 4-Gangwallach","Islandpferd, Wallach, 5 Jahre, 137 cm, Rappschimmel"
"1733932052-37","https://www.ehorses.de/search?dum=dum&land=4?pn=445","Preis auf Anfrage","München","Reining - Western allround - Western - Decken
                
                    
                    Nina Michalk","BEAUTIFUL STUD COLT YEARLING BY GUNNATRASHYA","American Quarter Horse, Hengst, 1 Jahr, Fuchs"
"1733932052-38","https://www.ehorses.de/search?dum=dum&land=4?pn=445","Preis auf Anfrage","München","Western - Western allround - Working Equitation - Reining
                
                    
                    Nina Michalk","MRS. SMOKEY ! Sie ist der PERFEKTE ALLROUNDER!","American Quarter Horse, Stute, 2 Jahre, 153 cm, Brauner"
"1733932052-39","https://www.ehorses.de/search?dum=dum&land=4?pn=445","Preis auf Anfrage","München","Reining - Western allround - Western
                
                    
                    Nina Michalk","FUTURITY PROSPECT - 2Y OLD STALLION BY GUNNATRASHYA","American Quarter Horse, Hengst, 2 Jahre, 155 cm, Fuchs"
"1733932052-40","https://www.ehorses.de/search?dum=dum&land=4?pn=445","Preis auf Anfrage","München","Reining - Western allround - Versatility Ranch Horse - Western
                
                    
                    Nina Michalk","STUNNING 4 month old Filly","American Quarter Horse, Stute, , Dunkelbrauner"
"1733932054-41","https://www.ehorses.de/search?dum=dum&land=4?pn=444","40,000 € bis 70,000 €","Sint-Martens-Lennik","Springen","","Holsteiner, Wallach, 7 Jahre, 169 cm, Schwarzbrauner"
"1733932054-42","https://www.ehorses.de/search?dum=dum&land=4?pn=444","15,000 €","Meerhout","Dressur","","Belgisches Warmblut, Stute, 5 Jahre, 174 cm, Rappe"
"1733932054-43","https://www.ehorses.de/search?dum=dum&land=4?pn=444","20,000 € bis 40,000 €","Pulheim","Dressur - Zucht - Springen - Freizeit
                
                    
                    Gestüt Geuchberg","Vielversprechender gekörter Hengst von Fusionist","Hannoveraner, Hengst, 4 Jahre, 168 cm, Brauner"
